id,temp_ar,radiacao_solar,precipitacao_clima,qtd_agua_necessaria,precipitacao_chuva,Qtd_Agua_apos_chuva,hora_irrig,data_irrig,umidade_solo,temp_solo,cidade,ph_solo,herosao,veloc_vento,umidade_relativ,plantacoes_nomes,tipo_plantacao
49123,25 C°,660,0.4,424.7,7.5,423.0,06:20:13,28/08/22,48%,18 C°,Limoeiro do Norte,['alcalino'],Falso,11.5,49%,Milho,Feijao: Leguminosa
13808,18 C°,300,0.1,770.4,6.7,768.8,16:53:38,13/12/19,69%,21 C°,Limoeiro do Norte,['ácido'],Falso,14.8,64%,Milho,Mamao: Fruta
19876,17 C°,120,1.8,639.2,3.5,638.5,04:41:29,20/03/23,74%,17 C°,Limoeiro do Norte,['ácido'],Falso,5.7,69%,Mamao,Cana-de-Acucar: Cereal
75173,22 C°,100,1.8,559.2,12.1,559.0,01:24:52,05/09/23,19%,23 C°,Limoeiro do Norte,['neutro'],Falso,6.3,50%,Mamao,Melancia: Fruta
41917,24 C°,260,0.3,293.6,9.5,292.3,09:04:41,24/09/19,72%,18 C°,Limoeiro do Norte,['neutro'],Falso,6.8,13%,Milho,Mamao: Fruta
12879,35 C°,660,1.5,293.6,17.3,292.8,02:16:23,05/04/20,19%,18 C°,Limoeiro do Norte,['ácido'],Falso,12.2,55%,Abacaxi,Cana-de-Acucar: Cereal
87276,25 C°,500,1.4,234.9,0.6,234.7,16:52:06,27/06/21,10%,21 C°,Limoeiro do Norte,['ácido'],Falso,12.3,39%,Milho,Mamao: Fruta
26943,31 C°,540,0.5,719.7,12.9,718.7,17:18:01,24/12/18,40%,19 C°,Limoeiro do Norte,['neutro'],Falso,14.9,28%,Cana-de-Acucar,Abacaxi: Fruta
91874,30 C°,700,0.2,560.7,15.3,560.5,11:26:04,03/10/21,80%,22 C°,Limoeiro do Norte,['alcalino'],Falso,9.8,82%,Banana,Mamao: Fruta
41280,26 C°,500,1.4,624.8,15.2,624.6,15:54:47,14/11/20,10%,21 C°,Limoeiro do Norte,['ácido'],Falso,17.1,49%,Cana-de-Acucar,Milho: Cereal
29413,17 C°,120,0.6,212.4,17.7,212.0,11:37:55,08/10/22,43%,17 C°,Limoeiro do Norte,['alcalino'],Falso,10.4,76%,Banana,Mamao: Fruta
48945,20 C°,140,1.5,781.9,14.6,781.1,18:42:29,05/07/22,17%,18 C°,Limoeiro do Norte,['ácido'],Falso,11.5,45%,Banana,Melancia: Fruta
29550,20 C°,480,0.3,699.5,18.6,698.4,02:00:29,05/08/21,64%,22 C°,Limoeiro do Norte,['neutro'],Falso,3.3,33%,Abacaxi,Mamao: Fruta
58393,19 C°,400,1.6,327.4,6.7,326.0,22:11:41,17/01/22,34%,19 C°,Limoeiro do Norte,['alcalino'],Falso,15.1,44%,Cana-de-Acucar,Cana-de-Acucar: Cereal
35754,18 C°,900,0.1,309.1,10.1,307.7,18:13:25,11/03/20,54%,23 C°,Limoeiro do Norte,['neutro'],Falso,11.0,62%,Milho,Mamao: Fruta
46765,18 C°,320,1.1,310.0,0.3,309.1,16:50:42,28/09/21,56%,20 C°,Limoeiro do Norte,['neutro'],Falso,5.6,79%,Cana-de-Acucar,Cana-de-Acucar: Cereal
39237,27 C°,680,0.7,382.5,0.1,380.7,00:17:55,28/02/22,11%,22 C°,Limoeiro do Norte,['neutro'],Falso,5.3,33%,Mamao,Mamao: Fruta
26704,19 C°,680,1.4,514.9,4.8,514.2,09:52:49,12/09/23,39%,17 C°,Limoeiro do Norte,['neutro'],Falso,7.2,67%,Banana,Abacaxi: Fruta
42426,25 C°,180,0.7,459.2,2.0,457.3,10:56:47,14/02/23,14%,17 C°,Limoeiro do Norte,['ácido'],Falso,7.0,31%,Feijao,Mamao: Fruta
30375,35 C°,140,1.6,374.7,5.2,373.8,00:34:16,11/10/22,34%,23 C°,Limoeiro do Norte,['neutro'],Falso,17.6,12%,Melancia,Melancia: Fruta
10015,33 C°,720,1.9,567.1,3.5,566.4,04:58:24,04/07/21,30%,18 C°,Limoeiro do Norte,['ácido'],Falso,7.4,28%,Mamao,Melancia: Fruta
64738,30 C°,720,0.1,283.7,0.6,283.5,09:11:14,16/07/21,64%,22 C°,Limoeiro do Norte,['ácido'],Falso,12.1,24%,Abacaxi,Milho: Cereal
17435,19 C°,620,0.3,375.3,18.2,374.5,07:27:01,10/07/21,80%,18 C°,Limoeiro do Norte,['alcalino'],Falso,17.2,81%,Cana-de-Acucar,Mamao: Fruta
